,BDTYP_CD,BUL_DPN_SE,X_AXIS,Y_AXIS,HOUS_ID,TOTAL_AREA,ADMI_CD,BLK_CD,XMIN,YMIN,XMAX,YMAX,SHAPE_AREA,경도,위도
141,1003,M,200419,451090,1.11401E+18,260.58,11140580,207073,200411,451084,200426,451096,130.29,127.0026403,37.56208871
142,1003,M,200400,451089,1.11401E+18,302.72,11140580,207073,200392,451080,200410,451095,151.36,127.0024252,37.56207971
143,1003,M,200405,451102,1.11401E+18,166.26,11140580,207073,200400,451095,200410,451108,83.13,127.0024818,37.56219684
144,1003,M,200393,451113,1.11401E+18,106.92,11140580,207073,200388,451108,200397,451118,53.46,127.002346,37.56229595
145,1003,M,200338,451107,1.11401E+18,299.76,11140580,207073,200333,451098,200344,451116,149.88,127.0017235,37.56224191
146,1003,M,200315,451106,1.11401E+18,307.26,11140580,207073,200310,451099,200320,451114,102.42,127.0014632,37.5622329
147,2002,M,200250,451032,1.11401E+18,599.5,11140580,207120,200234,451020,200267,451044,299.75,127.0007275,37.56156619
148,2002,M,200262,451021,1.11401E+18,853.2,11140580,207120,200239,451006,200284,451036,426.6,127.0008633,37.56146708
149,2003,M,200287,451119,1.11401E+18,633.12,11140580,207073,200278,451111,200297,451126,158.28,127.0011463,37.56235004
150,1003,M,200292,451135,1.11401E+18,404.54,11140580,207073,200281,451128,200302,451143,202.27,127.0012029,37.5624942
151,2003,M,200295,451227,1.11401E+18,792.2,11140580,207097,200287,451216,200303,451238,198.05,127.0012368,37.56332311
152,2003,M,200310,451230,1.11401E+18,850.92,11140580,207097,200300,451221,200319,451238,212.73,127.0014066,37.56335013
153,1003,M,200218,451323,1.11401E+18,105.32,11140580,207094,200214,451318,200222,451328,52.66,127.0003653,37.56418807
154,1001,M,200166,451449,1.11401E+18,10.45,11140580,207078,200164,451446,200169,451451,10.45,126.9997768,37.56532332
155,1001,M,200167,451453,1.11401E+18,29.02,11140580,207078,200164,451450,200169,451455,14.51,126.9997881,37.56535936
156,1003,M,200156,451452,1.11401E+18,24.26,11140580,207078,200153,451449,200159,451455,12.13,126.9996636,37.56535035
157,1001,M,200135,451459,1.11401E+18,36.97,11140580,207078,200130,451455,200141,451462,36.97,126.9994259,37.56541343
158,1001,M,200275,451476,1.11401E+18,23.87,11140590,207199,200270,451472,200278,451479,23.87,127.0010105,37.56556657
159,1001,M,200278,451485,1.11401E+18,61.01,11140590,207199,200272,451479,200285,451490,61.01,127.0010445,37.56564766
160,1003,M,200281,451474,1.11401E+18,69.72,11140590,207199,200277,451470,200285,451478,34.86,127.0010785,37.56554855
161,1001,M,200292,451497,1.11401E+18,44.19,11140590,207199,200287,451492,200297,451502,44.19,127.001203,37.56575578
162,1003,M,200289,451492,1.11401E+18,27.26,11140590,207199,200284,451488,200294,451496,27.26,127.001169,37.56571073
163,1001,M,200280,451451,1.11401E+18,100.51,11140590,207199,200273,451443,200287,451459,100.51,127.0010671,37.56534132
164,1001,M,200236,451757,1.11402E+18,48.25,11140590,207154,200232,451752,200241,451762,48.25,127.0005692,37.56809836
165,1001,M,200317,451855,1.11402E+18,60.08,11140605,207227,200311,451849,200323,451861,60.08,127.0014861,37.56898131
166,1001,M,198864,451708,1.11401E+18,146.44,11140550,206708,198860,451704,198868,451712,36.61,126.9850394,37.56765611
167,1003,M,201041,450366,1.11402E+18,564.24,11140635,335962,201028,450359,201056,450372,282.12,127.0096792,37.5555651
168,1001,M,201029,450411,1.11402E+18,8.97,11140635,203334,201026,450409,201032,450415,8.97,127.0095435,37.55597055
169,1001,M,201077,450424,1.11402E+18,34.87,11140635,207412,201072,450420,201082,450429,34.87,127.0100867,37.55608763
170,1003,M,201086,450437,1.11402E+18,114.64,11140635,207412,201080,450431,201091,450443,57.32,127.0101886,37.55620475
171,1003,M,201095,450434,1.11402E+18,154.52,11140635,207412,201089,450427,201101,450440,77.26,127.0102905,37.55617771
172,1003,M,201085,450423,1.11402E+18,24.76,11140635,207412,201082,450420,201088,450428,24.76,127.0101773,37.55607861
173,1003,M,201104,450430,1.11402E+18,174.48,11140635,207412,201098,450423,201112,450437,87.24,127.0103923,37.55614166
174,1001,M,201091,450413,1.11402E+18,41.37,11140635,207412,201088,450408,201094,450419,41.37,127.0102452,37.55598851
175,1000,M,201114,450412,1.11402E+18,87.8,11140635,207412,201107,450407,201121,450418,87.8,127.0105055,37.55597947
176,1003,M,201099,450414,1.11402E+18,67.43,11140635,207412,201093,450409,201104,450419,67.43,127.0103357,37.55599751
177,1000,M,201111,450400,1.11402E+18,86.79,11140635,207412,201105,450395,201118,450405,86.79,127.0104715,37.55587136
178,1001,M,201109,450391,1.11402E+18,89.17,11140635,207412,201102,450387,201116,450397,89.17,127.0104489,37.55579027
179,1001,M,201098,450404,1.11402E+18,53.81,11140635,207412,201093,450400,201103,450408,53.81,127.0103244,37.55590741
180,1003,M,201099,450395,1.11402E+18,42.48,11140635,207412,201094,450389,201102,450399,42.48,127.0103357,37.55582632
181,1003,M,201053,450463,1.11402E+18,129.32,11140635,207412,201047,450458,201060,450468,64.66,127.0098152,37.55643904
182,2003,M,200816,450515,1.11402E+18,263.78,11140625,207332,200808,450509,200824,450521,131.89,127.007133,37.55690778
183,2003,M,200840,450617,1.11402E+18,388,11140625,207325,200833,450610,200847,450623,77.6,127.0074047,37.55782677
