BDTYP_CD,BUL_DPN_SE,X_AXIS,Y_AXIS,HOUS_ID,TOTAL_AREA,ADMI_CD,BLK_CD,XMIN,YMIN,XMAX,YMAX,SHAPE_AREA
01003,M,200281,451474,1114014700001090002,69.72,11140590,207199,200277,451470,200285,451478,34.86
01001,M,200292,451497,1114014700001190002,44.19,11140590,207199,200287,451492,200297,451502,44.19
01003,M,200289,451492,1114014700001190003,27.26,11140590,207199,200284,451488,200294,451496,27.26
01001,M,200280,451451,1114014700001120000,100.51,11140590,207199,200273,451443,200287,451459,100.51
01001,M,200236,451757,1114015400001790001,48.25,11140590,207154,200232,451752,200241,451762,48.25
01001,M,200317,451855,1114015100000820001,60.08,11140605,207227,200311,451849,200323,451861,60.08
01001,M,198864,451708,1114013100000840000,146.44,11140550,206708,198860,451704,198868,451712,36.61
01003,M,201041,450366,1114016200003720110,564.24,11140635,335962,201028,450359,201056,450372,282.12
01001,M,201029,450411,1114016200003720044,8.97,11140635,203334,201026,450409,201032,450415,8.97
01001,M,201077,450424,1114016200003730125,34.87,11140635,207412,201072,450420,201082,450429,34.87
01003,M,201086,450437,1114016200003490127,114.64,11140635,207412,201080,450431,201091,450443,57.32
01003,M,201095,450434,1114016200003490152,154.52,11140635,207412,201089,450427,201101,450440,77.26
01003,M,201085,450423,1114016200003730275,24.76,11140635,207412,201082,450420,201088,450428,24.76
01003,M,201104,450430,1114016200003490151,174.48,11140635,207412,201098,450423,201112,450437,87.24
01001,M,201091,450413,1114016200003490118,41.37,11140635,207412,201088,450408,201094,450419,41.37
01000,M,201114,450412,1114016200003490112,87.8,11140635,207412,201107,450407,201121,450418,87.8
01003,M,201099,450414,1114016200003490114,67.43,11140635,207412,201093,450409,201104,450419,67.43
01000,M,201111,450400,1114016200003490113,86.79,11140635,207412,201105,450395,201118,450405,86.79
01001,M,201109,450391,1114016200003490113,89.17,11140635,207412,201102,450387,201116,450397,89.17
01001,M,201098,450404,1114016200003490115,53.81,11140635,207412,201093,450400,201103,450408,53.81
01003,M,201099,450395,1114016200003490397,42.48,11140635,207412,201094,450389,201102,450399,42.48
01003,M,201053,450463,1114016200003730020,129.32,11140635,207412,201047,450458,201060,450468,64.66
02003,M,200816,450515,1114016200004322283,263.78,11140625,207332,200808,450509,200824,450521,131.89
