관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,WGS84위도,WGS84경도
서울특별시 중구청,서울특별시 중구 다산로6길 22 (신당동),서울특별시 중구 약수동 366-85,생활방범,37.5522,127.0090
서울특별시 중구청,서울특별시 중구 다산로4길 10 (신당동),서울특별시 중구 약수동 366-142,생활방범,37.5495,127.0079
서울특별시 중구청,서울특별시 중구 다산로10길 10-33 (신당동),서울특별시 중구 약수동 368-75,생활방범,37.5530,127.0102
서울특별시 중구청,서울특별시 중구 동호로 171 (신당동),서울특별시 중구 약수동 372-3,생활방범,37.5533,127.0112
서울특별시 중구청,서울특별시 중구 다산로8길 35-2 (신당동),서울특별시 중구 약수동 372-102,생활방범,37.5525,127.0116
서울특별시 중구청,"서울특별시 중구 다산로 32 (신당동, 남산타운아파트)",서울특별시 중구 약수동 844-9,생활방범,37.5481,127.0109
서울특별시 중구청,서울특별시 중구 청구로3가길 10 (신당동),서울특별시 중구 청구동 330-343,생활방범,37.5584,127.0158
서울특별시 중구청,서울특별시 중구 청구로3길 35-7 (신당동),서울특별시 중구 청구동 330-376,생활방범,37.5584,127.0158
서울특별시 중구청,서울특별시 중구 다산로28가길 12 (신당동),서울특별시 중구 청구동 330-383,생활방범,37.5592,127.0142
서울특별시 중구청,서울특별시 중구 다산로20길 35 (신당동),서울특별시 중구 청구동 333-41,생활방범,37.5567,127.0142
서울특별시 중구청,서울특별시 중구 다산로22길 18 (신당동),서울특별시 중구 청구동 333-111,생활방범,37.5573,127.0134
서울특별시 중구청,서울특별시 중구 다산로24길 58 (신당동),서울특별시 중구 청구동 333-293,생활방범,37.5570,127.0155
서울특별시 중구청,서울특별시 중구 다산로24가길 8 (신당동),서울특별시 중구 청구동 333-294,생활방범,37.5569,127.0158
서울특별시 중구청,서울특별시 중구 매봉18길 109 (신당동),서울특별시 중구 청구동 333-772,생활방범,37.5560,127.0174
서울특별시 중구청,서울특별시 중구 동호로10길 69 (신당동),서울특별시 중구 청구동 340-34,생활방범,37.5567,127.0130
서울특별시 중구청,서울특별시 중구 다산로16길 38 (신당동),서울특별시 중구 청구동 346-402,생활방범,37.5560,127.0138
서울특별시 중구청,서울특별시 중구 동호로10길 39 (신당동),서울특별시 중구 청구동 347-359,생활방범,37.5554,127.0123
서울특별시 중구청,서울특별시 중구 청구로1길 23 (신당동),서울특별시 중구 청구동 843,생활방범,37.5585,127.0167
서울특별시 중구청,서울특별시 중구 동호로11아길 28-7 (신당동),서울특별시 중구 다산동 432-1918,생활방범,37.5512,127.0045
서울특별시 중구청,서울특별시 중구 동호로 10길 8-8,서울특별시 중구 청구동 349-272,생활방범,37.5542,127.0122
서울특별시 중구청,서울특별시 중구 청구로 3길 54,서울특별시 중구 청구동 333-204,생활방범,37.5574,127.0146
