,노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,고가도로,지하철네트워크,교량,터널,육교,횡단보도,"공원,녹지",건물내,행정동코드
3002,LINK,,0,,LINESTRING(127.0076208038233 37.56336188337621127.0078163058928 37.563441969177426),213806,1111,8284,8281,19.426,1114000000,중구,1114014600,광희동2가,0,0,0,0,0,0,0,0,11140590
3003,NODE,POINT(127.01214977815529 37.56074680743269),10172,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3004,LINK,,0,,LINESTRING(126.96763475494666 37.56092264623723126.96767505572235 37.56079907655942),16527,1111,119570,119023,14.169,1114000000,중구,1114017100,중림동,0,0,0,0,0,0,0,0,11140680
3005,LINK,,0,,LINESTRING(127.0118699959352 37.55479898792157127.01168890929465 37.554874527617606),25499,1111,74161,125992,18.064,1114000000,중구,1114016200,신당동,0,0,0,0,0,0,0,0,11140615
3006,NODE,POINT(127.01202203092579 37.56034262039478),10171,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3007,NODE,POINT(127.00085597910247 37.550245346935114),7622,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
3008,LINK,,0,,LINESTRING(126.98762127291863 37.56479810550779126.98747465212915 37.564784358861445),52248,1011,6453,6456,13.043,1114000000,중구,1114013100,저동1가,0,0,0,0,0,0,0,1,11140550
3009,NODE,POINT(127.01232962341446 37.56028079830674),10170,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3010,NODE,POINT(126.9952543769586 37.563562280408554),7139,0,,0,,,,,1114000000,중구,1114013400,인현동2가,,,,,0,0,,,11140590
3011,LINK,,0,,LINESTRING(127.01244351048977 37.56376534970658127.01275550009659 37.56412003867103),41469,1011,10026,10025,48.057,1114000000,중구,1114016200,신당동,0,0,0,0,0,0,0,0,11140615
3012,NODE,POINT(127.01251188288627 37.56002359347468),10169,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3013,NODE,POINT(126.99763102089914 37.56054125895233),7186,0,,0,,,,,1114000000,중구,1114013900,필동3가,,,,,0,0,,,11140570
3014,LINK,,0,,LINESTRING(126.98980668347971 37.56157606276497126.98975200167239 37.56201316755651),51737,1011,6776,9731,48.753,1114000000,중구,1114012500,충무로2가,0,0,0,0,0,0,0,0,11140550
3015,NODE,POINT(127.01270910216238 37.56031966311448),10168,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3016,NODE,POINT(127.00153164350533 37.55816143052497),7552,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
3017,LINK,,0,,LINESTRING(127.02289939256583 37.563071504106276127.0228504438443 37.56282435223562),25889,1111,9526,9521,27.77,1114000000,중구,1114016200,신당동,0,0,0,0,0,0,0,0,11140615
3018,NODE,POINT(127.01286556098516 37.56049041602097),10167,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3019,NODE,POINT(127.00070660534709 37.55847039028752),7553,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
3020,LINK,,0,,LINESTRING(126.96878170092943 37.56351224072805126.96870018092997 37.563623400403074),25908,1011,119573,119056,14.286,1114000000,중구,1114016900,의주로1가,0,0,0,0,0,0,0,1,11140520
3021,NODE,POINT(127.01210816245221 37.55964918632418),10166,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3022,LINK,,0,,LINESTRING(127.00446382015839 37.56389225125198127.00403258185663 37.56390828648411127.00387733560521 37.563906003153896),10809,1111,9916,9917,51.86,1114000000,중구,1114014700,쌍림동,0,0,0,0,0,0,0,0,11140590
3023,LINK,,0,,LINESTRING(126.9989399916654 37.56542866765328126.99906648848669 37.565636924960565),25906,1111,7387,7389,25.674,1114000000,중구,1114013500,예관동,0,0,0,0,0,0,0,0,11140590
3024,NODE,POINT(127.0122433153366 37.55988717974878),10165,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3025,LINK,,0,,LINESTRING(126.96406801854035 37.55903357560455126.96408822739548 37.55885507621443),9541,1111,5591,115701,19.892,1114000000,중구,1114017100,중림동,0,0,0,0,0,0,0,0,11140680
3026,LINK,,0,,LINESTRING(127.02286172800238 37.5621194824278127.02303998549588 37.56217208399764),51745,1111,9536,9529,16.797,1114000000,중구,1114016200,신당동,0,0,0,0,0,0,0,0,11140615
3027,NODE,POINT(127.01209958182675 37.559919234017954),10164,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3028,NODE,POINT(127.00630876192238 37.55071204283679),7908,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3029,LINK,,0,,LINESTRING(127.00988606247756 37.56035426122627127.01011029283517 37.56032906838477),52101,1111,10151,10154,20.008,1114000000,중구,1114016200,신당동,0,0,0,0,0,0,0,0,11140615
3030,NODE,POINT(127.0121311891396 37.559825400950764),10163,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3031,NODE,POINT(126.98212159500851 37.55818406688875),6405,0,,0,,,,,1114000000,중구,1114012100,회현동1가,,,,,0,0,,,11140550
3032,LINK,,0,,LINESTRING(127.0065842839056 37.56204604029294127.0067366832565 37.56240075406012127.0071191442466 37.56348549536112),48429,1111,7762,9904,166.654,1114000000,중구,1114014300,장충동1가,0,0,0,0,0,0,0,0,11140580
3033,NODE,POINT(127.01190409384637 37.55989865709926),10162,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3034,NODE,POINT(127.00269591755456 37.55864657865001),7554,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
3035,LINK,,0,,LINESTRING(127.01267761371798 37.554083687400414127.01264310557592 37.55400359239117127.01347954127507 37.553683105016916127.01359167517379 37.553831846915294127.0135169676899 37.554001207051726),20193,1111,9000,9001,130.597,1114000000,중구,1114016200,신당동,0,0,0,0,0,0,0,0,11140615
3036,NODE,POINT(127.01193862363611 37.560102332982076),10161,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
