,Unnamed: 0.1,Unnamed: 0,개방자치단체코드,관리번호,영업상태명,소재지면적,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
67,67,67,3010000,3010000-102-2001-13670,영업/정상,75.63,서울특별시 중구 북창동 98-0번지 ,서울특별시 중구 남대문로1길 26 (북창동),4526,엔에스,노래클럽,197945.8254,451102.6517,126.9746482,37.56220033
68,68,68,3010000,3010000-102-2001-13825,영업/정상,92.5,서울특별시 중구 남대문로4가 3-13 ,서울특별시 중구 남대문로 16 (남대문로4가),4529,황제노래터유흥주점,룸살롱,197945.3755,450937.1058,126.9746436,37.56070878
69,69,69,3010000,3010000-102-2001-13826,영업/정상,66.06,서울특별시 중구 남대문로5가 63-20번지 1층 ,서울특별시 중구 세종대로 7 (남대문로5가, 1층),4512,2018-08-31 23:59:59,197519.4805,450619.071,126.9698244,37.55784225
70,70,70,3010000,3010000-102-2001-13879,영업/정상,74.89,서울특별시 중구 충무로4가 29-3,서울특별시 중구 퇴계로41길 13 (충무로4가),4556,도레미노래광장,룸살롱,199541.8713,451126.308,126.9927127,37.56241576
71,71,71,3010000,3010000-102-2001-13976,영업/정상,93.8,서울특별시 중구 충무로4가 130-3번지 외1(지상2층) ,서울특별시 중구 충무로2길 34-1 (충무로4가,외1(지상2층)),4557,2018-08-31 23:59:59,199489.1793,451106.9518,126.9921163,37.56224133
72,72,72,3010000,3010000-102-2001-13979,영업/정상,98.81,서울특별시 중구 초동 19-9 ,서울특별시 중구 을지로14길 27 (초동),4550,퇴근길노래주점짱,룸살롱,199247.6529,451416.8542,126.9893823,37.56503334
73,73,73,3010000,3010000-102-2001-13980,영업/정상,77.75,서울특별시 중구 황학동 809 지상 2층,서울특별시 중구 난계로11길 6 (황학동,지상 2층),4575,2021-12-08 23:07:00,201978.0741,451518.3053,127.0202874,37.56594578
74,74,74,3010000,3010000-102-2001-13982,영업/정상,98,서울특별시 중구 황학동 738 지하1층 ,서울특별시 중구 퇴계로 423-2 (황학동, 지하1층),4576,2020-12-06 02:40:00,201601.7862,451508.7369,127.0160282,37.56586027
75,75,75,3010000,3010000-102-2001-13983,영업/정상,59.5,서울특별시 중구 충무로4가 133-20 지상2층 ,서울특별시 중구 충무로2길 32-6 (충무로4가,지상2층),4557,2021-04-18 02:40:00,199465.0315,451099.7266,126.991843,37.56217622
76,76,76,3010000,3010000-102-2001-13984,영업/정상,85.69,서울특별시 중구 을지로5가 20-2 지하1층 ,서울특별시 중구 을지로 211 (을지로5가,지하1층),4546,2022-02-27 02:40:00,200071.612,451641.8571,126.9987084,37.56706095
77,77,77,3010000,3010000-102-2001-13985,영업/정상,82.5,서울특별시 중구 을지로3가 334-10번지 지하1층 ,서울특별시 중구 을지로12길 10 (을지로3가,지하1층),4550,2018-08-31 23:59:59,199143.905,451509.1502,126.9882079,37.56586482
78,78,78,3010000,3010000-102-2001-13986,영업/정상,108.16,서울특별시 중구 인현동1가 15-15 지하1층,서울특별시 중구 을지로20길 16 (인현동1가,지하1층),4549,2021-10-31 23:02:00,199507.4754,451488.4124,126.9923231,37.56567826
79,79,79,3010000,3010000-102-2001-13989,영업/정상,94.2,서울특별시 중구 광희동1가 130 지하1층,서울특별시 중구 을지로42길 11 (광희동1가,지하1층),4561,2022-12-05 22:08:00,200448.9723,451491.6664,127.0029797,37.56570767
80,80,80,3010000,3010000-102-2001-13991,영업/정상,98,서울특별시 중구 황학동 706-2 지하1층 ,서울특별시 중구 퇴계로 439-4 (황학동,지하1층),4576,2021-11-13 02:40:00,201775.039,451516.7714,127.0179892,37.56593236
81,81,81,3010000,3010000-102-2002-00003,영업/정상,57.06,서울특별시 중구 충무로4가 24-3 지하1층,서울특별시 중구 충무로2길 29 (충무로4가,지하1층),4556,2022-12-07 00:05:00,199481.3761,451138.5287,126.992028,37.56252583
82,82,82,3010000,3010000-102-2002-00004,영업/정상,40,서울특별시 중구 다동 58-1번지 4층 ,서울특별시 중구 다동길 33, 4층 (다동),4521,2018-08-31 23:59:59,198264.7839,451746.9218,126.9782567,37.56800581
83,83,83,3010000,3010000-102-2002-00006,영업/정상,62.91,서울특별시 중구 필동1가 10-6 지하1층 ,서울특별시 중구 퇴계로31길 9 (필동1가,지하1층),4554,2021-03-05 02:40:00,199238.8375,451039.7926,126.9892829,37.56163605
84,84,84,3010000,3010000-102-2002-00008,영업/정상,88.6,서울특별시 중구 인현동1가 97-2 지하1층 ,서울특별시 중구 마른내로 54-1 (인현동1가,지하1층),4556,2020-08-07 02:40:00,199389.2572,451326.8259,126.9909852,37.56422231
85,85,85,3010000,3010000-102-2002-00011,영업/정상,75.31,서울특별시 중구 중림동 128-21번지 지하1층 ,서울특별시 중구 청파로 427-3 (중림동,지하1층),4507,2018-08-31 23:59:59,197192.6878,450621.3195,126.9661259,37.55786154
86,86,86,3010000,3010000-102-2002-00012,영업/정상,81.52,서울특별시 중구 주교동 124-1 지하1층,서울특별시 중구 창경궁로 70, 지하1층 (주교동),4546,2022-12-06 22:06:00,199776.9708,451805.6567,126.9953733,37.56853672
