,개방자치단체코드,관리번호,영업상태명,소재지면적,소재지우편번호,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
81,3010000,3010000-201-2001-00019,영업/정상,297.52,100873,서울특별시 중구 회현동1가 86-1 1,2층,1,2022-12-27 16:12:00,198175.6153,450640.367,126.9772502,37.5580357
82,3010000,3010000-201-2002-00002,영업/정상,204.78,100-855,서울특별시 중구 장충동2가 74,서울특별시 중구 퇴계로56가길 2 (장충동2가),조이 게스트하우스,여관업,200414.4051,451048.4423,127.0025882,37.56171428
83,3010000,3010000-201-2002-00005,영업/정상,233.15,100864,서울특별시 중구 태평로2가 58-5번지 ,서울특별시 중구 세종대로16길 3 (태평로2가),알프스모텔,여관업,197918.925,451249.1641,126.9743433,37.56352033
84,3010000,3010000-201-2002-00007,영업/정상,51.15,100823,서울특별시 중구 신당동 239-46번지 ,서울특별시 중구 다산로35길 29-3 (신당동),성도여관,여관업,201168.1344,451300.2419,127.0111195,37.56398238
85,3010000,3010000-201-2002-00014,영업/정상,1,168,100873,서울특별시 중구 회현동1가 86-3,4634,00:09:00,198144.2145,450651.6878,126.9768948,37.55813763
86,3010000,3010000-201-2002-00015,영업/정상,63.25,100272,서울특별시 중구 필동2가 18-14,서울특별시 중구 퇴계로 210-47 (필동2가),한일장모텔,여관업,199494.0926,450932.4931,126.9921721,37.56066948
87,3010000,3010000-201-2002-00016,영업/정상,458.7,100411,서울특별시 중구 광희동1가 138-1 ,서울특별시 중구 을지로44길 6-7 (광희동1가),탑모텔,여관업,200476.8054,451495.1403,127.0032947,37.56573896
88,3010000,3010000-201-2002-00017,영업/정상,242.41,100861,서울특별시 중구 충무로2가 66-9번지 7층 ,서울특별시 중구 명동8가길 7 (충무로2가,4536,00:59:59,198640.6596,451053.3799,126.9825126,37.56175774
89,3010000,3010000-201-2002-00019,영업/정상,200,100-823,서울특별시 중구 신당동 241-102,서울특별시 중구 다산로35길 21 (신당동),8모텔,여관업,201203.715,451284.6772,127.0115222,37.5638421
90,3010000,3010000-201-2002-00023,영업/정상,442.73,100-411,서울특별시 중구 광희동1가 130,서울특별시 중구 을지로42길 11 (광희동1가),호텔 클로이,일반호텔,200448.9723,451491.6664,127.0029797,37.56570767
91,3010000,3010000-201-2002-00025,영업/정상,46.96,100834,서울특별시 중구 신당동 377-111번지 ,서울특별시 중구 청구로17길 83 (신당동),쉐어하우스 다함,일반호텔,200938.2931,450589.2571,127.0085172,37.55757672
