,Unnamed: 0,노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,고가도로,지하철네트워크,교량,터널,육교,횡단보도,"공원,녹지",건물내,행정동코드,CCTV_100m,숙박업소_100m,유흥업소_100m,경찰서_500m,비아파트_25m,취약계층_평균(생활인구),CCTV_100m_std,숙박업소_100m_std,유흥업소_100m_std,경찰서_500m_std,비아파트_25m_std,취약계층_평균(생활인구)_std,범죄종합점수,geometry,수요충족여부
43,43,NODE,POINT(127.01018185357069 37.55974123323343),8361,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,0,2,0,1,1,871.0517579,0,0.133333333,0,0.25,0.033333333,0.577369307,0.057375413,POINT (127.01018185357069 37.55974123323343),0
44,44,NODE,POINT(127.00350240096606 37.56126807119375),71681,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570,1,3,0,2,0,449.7471811,0.1,0.2,0,0.5,0,0.134902168,-0.086601534,POINT (127.00350240096606 37.56126807119375),0
45,45,NODE,POINT(127.01038305177877 37.559484900083206),8362,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,1,2,0,1,5,871.0517579,0.1,0.133333333,0,0.25,0.166666667,0.577369307,0.084508746,POINT (127.01038305177877 37.559484900083206),0
46,46,NODE,POINT(127.00443387947549 37.56185161545662),71680,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570,3,1,0,2,0,449.7471811,0.3,0.066666667,0,0.5,0,0.134902168,-0.1100682,POINT (127.00443387947549 37.56185161545662),1
47,47,NODE,POINT(127.01933835869809 37.56027985836612),127423,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,2,0,0,0,0,871.0517579,0.2,0,0,0,0,0.577369307,0.082775413,POINT (127.01933835869809 37.56027985836612),0
48,48,NODE,POINT(127.00414638211086 37.56162734980903),71679,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570,2,1,0,2,0,449.7471811,0.2,0.066666667,0,0.5,0,0.134902168,-0.1026682,POINT (127.00414638211086 37.56162734980903),0
49,49,NODE,POINT(127.019878838449 37.56035300163032),127422,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,3,0,0,0,0,871.0517579,0.3,0,0,0,0,0.577369307,0.075375413,POINT (127.019878838449 37.56035300163032),1
50,50,NODE,POINT(127.00421536952075 37.56147172721398),71678,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570,3,1,0,2,0,449.7471811,0.3,0.066666667,0,0.5,0,0.134902168,-0.1100682,POINT (127.00421536952075 37.56147172721398),0
51,51,NODE,POINT(127.0091753762798 37.557226218154845),8330,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,1,1,0,1,1,871.0517579,0.1,0.066666667,0,0.25,0.033333333,0.577369307,0.04564208,POINT (127.0091753762798 37.557226218154845),1
52,52,NODE,POINT(127.0083742952047 37.56573503844157),8158,0,,0,,,,,1114000000,중구,1114014900,을지로7가,,,,,0,0,,,11140590,0,0,0,2,1,938.6870317,0,0,0,0.5,0.033333333,0.64840197,0.003213266,POINT (127.0083742952047 37.56573503844157),0
53,53,NODE,POINT(127.0148219552286 37.55371269508484),126513,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,3,0,0,2,0,871.0517579,0.3,0,0,0.5,0,0.577369307,-0.039624587,POINT (127.0148219552286 37.55371269508484),0
54,54,NODE,POINT(127.00512091850324 37.56112154605283),71671,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570,1,0,0,2,0,449.7471811,0.1,0,0,0.5,0,0.134902168,-0.099601534,POINT (127.00512091850324 37.56112154605283),0
55,55,NODE,POINT(127.01181776982595 37.56083728771208),8175,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,1,0,0,1,0,871.0517579,0.1,0,0,0.25,0,0.577369307,0.032675413,POINT (127.01181776982595 37.56083728771208),1
56,56,NODE,POINT(127.0218754785802 37.56152922815516),127515,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,0,0,0,0,0,871.0517579,0,0,0,0,0,0.577369307,0.097575413,POINT (127.0218754785802 37.56152922815516),0
57,57,NODE,POINT(127.01467606991824 37.55736406925162),126440,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,3,0,0,1,0,871.0517579,0.3,0,0,0.25,0,0.577369307,0.017875413,POINT (127.01467606991824 37.55736406925162),2
58,58,NODE,POINT(127.00403136184657 37.56113303094208),71676,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570,2,0,0,2,0,449.7471811,0.2,0,0,0.5,0,0.134902168,-0.107001534,POINT (127.00403136184657 37.56113303094208),1
59,59,NODE,POINT(127.01071944703209 37.55982357281269),8363,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,0,2,0,1,0,871.0517579,0,0.133333333,0,0.25,0,0.577369307,0.04874208,POINT (127.01071944703209 37.55982357281269),0
60,60,NODE,POINT(127.02051291951287 37.561943696958885),9267,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,1,0,0,0,0,871.0517579,0.1,0,0,0,0,0.577369307,0.090175413,POINT (127.02051291951287 37.561943696958885),1
61,61,NODE,POINT(127.01052668699272 37.55875484546995),8364,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,1,0,0,1,2,871.0517579,0.1,0,0,0.25,0.066666667,0.577369307,0.04994208,POINT (127.01052668699272 37.55875484546995),0
62,62,NODE,POINT(127.01900623041956 37.56089580161613),9284,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,2,0,0,0,0,871.0517579,0.2,0,0,0,0,0.577369307,0.082775413,POINT (127.01900623041956 37.56089580161613),0
63,63,NODE,POINT(127.00426422240777 37.561133022761446),71675,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570,1,0,0,2,0,449.7471811,0.1,0,0,0.5,0,0.134902168,-0.099601534,POINT (127.00426422240777 37.561133022761446),1
64,64,NODE,POINT(127.00468392861688 37.56084922890556),71674,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570,1,0,0,2,0,449.7471811,0.1,0,0,0.5,0,0.134902168,-0.099601534,POINT (127.00468392861688 37.56084922890556),0
65,65,NODE,POINT(127.00954917178663 37.55791732553785),8345,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,2,1,0,1,0,871.0517579,0.2,0.066666667,0,0.25,0,0.577369307,0.029608746,POINT (127.00954917178663 37.55791732553785),1
66,66,NODE,POINT(127.01862463039582 37.567069646581906),9257,0,,0,,,,,1114000000,중구,1114016500,황학동,,,,,0,0,,,11140670,5,2,0,0,4,575.0203519,0.5,0.133333333,0,0,0.133333333,0.266467939,0.051233082,POINT (127.01862463039582 37.567069646581906),0
67,67,NODE,POINT(127.02404947823102 37.563467191288346),165604,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,1,0,0,0,0,871.0517579,0.1,0,0,0,0,0.577369307,0.090175413,POINT (127.02404947823102 37.563467191288346),1
68,68,NODE,POINT(127.01726455981387 37.56291455391187),9264,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,1,0,0,1,1,871.0517579,0.1,0,0,0.25,0.033333333,0.577369307,0.041308746,POINT (127.01726455981387 37.56291455391187),0
69,69,NODE,POINT(127.01078543152475 37.55888526848146),8365,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,0,0,0,1,1,871.0517579,0,0,0,0.25,0.033333333,0.577369307,0.048708746,POINT (127.01078543152475 37.55888526848146),0
70,70,NODE,POINT(127.0045057074341 37.56113301379273),71673,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570,1,0,0,2,0,449.7471811,0.1,0,0,0.5,0,0.134902168,-0.099601534,POINT (127.0045057074341 37.56113301379273),1
71,71,NODE,POINT(127.00455745422546 37.56113301180661),71672,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570,1,0,0,2,0,449.7471811,0.1,0,0,0.5,0,0.134902168,-0.099601534,POINT (127.00455745422546 37.56113301180661),1
72,72,NODE,POINT(127.0116049951712 37.56058785883382),8174,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,2,0,0,1,0,871.0517579,0.2,0,0,0.25,0,0.577369307,0.025275413,POINT (127.0116049951712 37.56058785883382),0
73,73,NODE,POINT(127.00806587267341 37.55833623772015),8341,2,,0,,,,,1114000000,중구,1114014300,장충동1가,,,,,0,0,,,11140580,1,1,0,1,0,482.1074342,0.1,0.066666667,0,0.25,0,0.16888791,-0.03202461,POINT (127.00806587267341 37.55833623772015),0
74,74,NODE,POINT(127.00841731949998 37.5648402200772),8151,0,,0,,,,,1114000000,중구,1114014900,을지로7가,,,,,0,0,,,11140590,1,1,0,2,1,938.6870317,0.1,0.066666667,0,0.5,0.033333333,0.64840197,0.0001466,POINT (127.00841731949998 37.5648402200772),1
75,75,NODE,POINT(127.02413097843066 37.56211922983238),165603,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,0,0,0,0,0,871.0517579,0,0,0,0,0,0.577369307,0.097575413,POINT (127.02413097843066 37.56211922983238),0
76,76,NODE,POINT(127.0187933827795 37.560451860488264),9282,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,1,0,0,0,0,871.0517579,0.1,0,0,0,0,0.577369307,0.090175413,POINT (127.0187933827795 37.560451860488264),1
77,77,NODE,POINT(127.02045536364392 37.56172858498362),9266,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,2,0,0,0,0,871.0517579,0.2,0,0,0,0,0.577369307,0.082775413,POINT (127.02045536364392 37.56172858498362),1
78,78,NODE,POINT(127.01071645459236 37.55900198992753),8366,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,1,1,0,1,3,871.0517579,0.1,0.066666667,0,0.25,0.1,0.577369307,0.062908746,POINT (127.01071645459236 37.55900198992753),0
